post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
200988902.why-we-get-in-our-own-way,2026-06-09T20:15:53.348Z,true,2026-06-09T20:15:53.475Z,2026-06-09T20:15:53.475Z,newsletter,everyone,Why We Get In Our Own Way,"Understanding self-defeating behavior, why it persists, and how to start responding differently",
200257815.exercise-snacks,2026-06-02T15:40:37.598Z,true,2026-06-02T15:40:37.772Z,2026-06-02T15:40:37.772Z,newsletter,everyone,Exercise Snacks,The psychology of making movement easier to start,
199448532.why-typos-hide-in-plain-sight,2026-05-27T17:30:15.271Z,true,2026-05-27T17:30:15.438Z,2026-05-27T17:30:15.438Z,newsletter,everyone,Why Typos Hide In Plain Sight,Why your mind sometimes sees what should be there instead of what’s actually on the page.,
198420379.before-they-were-sins-they-were-thoughts,2026-05-20T18:00:03.593Z,true,2026-05-20T18:00:03.772Z,2026-05-20T18:00:03.772Z,newsletter,everyone,"Before They Were Sins, They Were Thoughts","Evagrius Ponticus’s eight thoughts offer a surprisingly useful way to think about impulse, self-reflection, and the space between feeling and response.",
197323962.why-we-waste-time-on-trivial-things,2026-05-13T11:48:20.643Z,true,2026-05-13T11:48:20.799Z,2026-05-13T11:48:20.799Z,newsletter,everyone,Why We Waste Time on Trivial Things,Exploring the psychology of bikeshedding,
196788172.da6,,false,,,adhoc_email,only_paid,,,
196532974.ai-is-already-changing-therapy-the,2026-05-05T14:31:52.671Z,true,2026-05-05T14:31:52.860Z,2026-05-05T14:31:52.860Z,newsletter,everyone,AI Is Already Changing Therapy. The Real Question Is How It Should Be Used,"A psychologist at the forefront of AI in mental health, Rosie Chapple offers a real-world perspective on how AI is being built into clinical practice",
196202897.the-psychological-benefits-of-reading,2026-05-02T18:10:25.726Z,true,2026-05-02T18:10:25.866Z,2026-05-02T18:10:25.866Z,newsletter,everyone,The Psychological Benefits of Reading Fiction,"The standard claim, the research that challenges it, and where the evidence actually points",
195878467.the-truth-about-the-lie-detector-1a0,2026-04-29T15:32:59.250Z,true,2026-04-29T15:32:59.398Z,2026-04-29T15:32:59.398Z,newsletter,everyone,The Truth About The Lie Detector Test,"The polygraph, the psychologist whose work shaped it, and the surprising link to Wonder Woman.",
195429427.desmond-morris-19282026,2026-04-25T14:11:52.997Z,true,2026-04-25T14:11:53.164Z,2026-04-25T14:11:53.164Z,newsletter,everyone,Desmond Morris (1928–2026),"Remembering Desmond Morris, the zoologist who reshaped how we understand human behavior",
194893926.concept-creep-when-psychological,2026-04-22T16:15:05.423Z,true,2026-04-22T16:15:05.568Z,2026-04-22T16:15:05.568Z,newsletter,everyone,Concept Creep: When Psychological Terms Expand Beyond Their Meaning,"What happens when clinical concepts stretch into everyday life, and how that shift both helps and harms how we understand mental health",
194595018.the-psychology-of-the-aphorism,2026-04-19T15:00:06.728Z,true,2026-04-19T15:00:06.900Z,2026-04-19T15:00:06.900Z,newsletter,everyone,The Psychology of the Aphorism,"Why short, seemingly wise sayings can open the mind or close it down",
194050858.what-happens-when-two-people-share,2026-04-14T14:03:29.842Z,true,2026-04-14T14:03:30.049Z,2026-04-14T14:03:30.049Z,newsletter,everyone,What Happens When Two People Share the Same Madness?,The psychology of folie à deux explained,
193788618.making-friends-as-an-adult-is-hard,2026-04-11T13:36:55.155Z,true,2026-04-11T13:36:55.333Z,2026-04-11T13:36:55.333Z,newsletter,everyone,Making Friends as an Adult is Hard,Why it matters and what you can do about it,
193455293.do-you-ever-wonder-about-the-lives,2026-04-07T15:08:12.494Z,true,2026-04-07T15:08:12.650Z,2026-04-07T15:08:12.650Z,newsletter,everyone,Do You Ever Wonder About the Lives of Strangers?,"The psychology of sonder, and what to do with it",
192975821.bf-skinner-and-carl-rogers-the-debate,2026-04-03T13:03:38.418Z,true,2026-04-03T13:03:38.578Z,2026-04-03T13:03:38.578Z,newsletter,everyone,B.F. Skinner and Carl Rogers: The Debate That Still Matters,"Two of the most eminent psychologists of the 20th century go head to head on control, freedom, and what it means to be human",
192750928.i-can-read-you-like-a-book-433,2026-03-31T18:35:23.664Z,true,2026-03-31T18:35:23.849Z,2026-03-31T18:35:23.849Z,newsletter,everyone,I Can Read You Like A Book,Why a stranger can seem to know you eerily well,
192404552.why-we-always-expect-the-worst,2026-03-28T19:45:41.456Z,true,2026-03-28T19:45:41.627Z,2026-03-28T19:45:41.627Z,newsletter,everyone,Why We Always Expect the Worst,The psychology of catastrophizing,
